A,B,C,D
1.0,14.0,-9.940000001788139,51.21000000417232
2.0,25.0,-3.8499999982118602,73.16999999761582
3.0,21.0,2.050000000298023,65.0399999986589
4.0,25.0,8.250000010728836,73.28000001192093
5.0,2.0,14.32000000357628,27.039999998658896
6.0,22.0,20.32000000357628,67.16000000715256
7.0,38.0,26.350000004768372,99.35000000476838
8.0,27.0,32.16000000715256,77.2600000011921
9.0,38.0,38.199999998807904,99.16000000715256
10.0,25.0,44.009999999329445,73.10999999523163
11.0,1.0,50.03999999865889,25.10999999523163
12.0,4.0,56.34000001430511,31.039999998658896
13.0,20.0,62.199999998807904,63.009999999329445
14.0,0.0,68.12000000059605,23.180000002980233
15.0,11.0,74.01999999910593,45.009999999329445
16.0,16.0,80.28000001192093,55.239999990463254
17.0,8.0,86.21999999463559,39.13999999642372
18.0,10.0,92.29000000238419,43.35000000476837
19.0,14.0,98.35999999523163,51.05000000029802
20.0,3.0,104.03000000074506,29.250000010728836
21.0,5.0,110.00999999932945,33.26999999165535
22.0,38.0,116.36999998569489,99.34000001430512
23.0,32.0,122.18000000298024,86.98
24.0,25.0,128.08000000149013,73.08000000149012
25.0,37.0,134.01999999910592,97.0399999986589
26.0,3.0,140.1699999976158,29.130000005960465
27.0,3.0,146.21999999463557,29.089999999403954
28.0,11.0,152.0800000014901,45.150000001788136
29.0,20.0,158.32000000357627,63.030000000745055
30.0,10.0,164.00999999932944,43.03999999865889
31.0,29.0,170.310000013113,81.23
32.0,21.0,176.29999999284743,65.32999999403954
33.0,8.0,182.18000000298022,39.35000000476837
34.0,14.0,188.32999999403953,51.13999999642372
35.0,13.0,194.15000000178813,49.320000003576276
36.0,27.0,199.98,76.98
37.0,31.0,206.3400000143051,84.98999999977649
38.0,20.0,212.05999999821185,63.36999998569488
39.0,8.0,218.13000000596045,39.150000001788136
40.0,36.0,224.15000000178813,95.35000000476838
41.0,21.0,230.3400000143051,65.19999999880791
42.0,38.0,236.15000000178813,99.35000000476838
43.0,22.0,241.98,67.1899999934435
44.0,30.0,247.98,83.15000000178814
45.0,0.0,254.12000000059604,22.98
46.0,17.0,260.1300000059605,57.13000000596046
47.0,13.0,266.12000000059606,49.070000003576276
48.0,16.0,272.2600000011921,55.160000007152554
49.0,34.0,278.31000001311304,91.35000000476838
50.0,23.0,284.08000000149013,69.36999998569489
51.0,24.0,290.089999999404,71.31000001311303
52.0,39.0,296.25000001072885,101.28000001192093
53.0,34.0,302.3699999856949,91.25000001072884
54.0,16.0,308.31000001311304,54.98
55.0,28.0,314.29999999284746,79.08000000149012
56.0,16.0,320.2199999946356,55.21000000417232
57.0,32.0,326.01999999910595,87.29999999284745
58.0,26.0,332.28000001192095,75.16000000715256
59.0,1.0,338.28000001192095,25.26999999165535
60.0,36.0,344.0300000007451,95.35999999523163
61.0,11.0,350.31000001311304,45.26999999165535
62.0,24.0,356.01999999910595,71.26999999165535
63.0,17.0,362.1300000059605,57.21999999463558
64.0,9.0,368.0999999973178,41.070000003576276
65.0,25.0,374.1899999934435,73.12000000059605
66.0,0.0,380.05000000029804,23.160000007152558
67.0,39.0,386.26999999165537,101.07000000357628
68.0,28.0,392.10999999523165,79.29999999284745
69.0,18.0,398.2600000011921,59.32999999403953
70.0,28.0,404.1999999988079,79.18000000298024
71.0,38.0,410.0599999982119,99.21999999463559
72.0,4.0,416.0999999973178,31.23
73.0,1.0,422.2399999904633,25.169999997615815
74.0,10.0,428.3699999856949,43.030000000745055
75.0,20.0,434.35999999523165,63.13999999642372
76.0,18.0,440.3200000035763,59.09999999731779
77.0,1.0,446.21000000417234,25.089999999403954
78.0,24.0,452.2900000023842,71.1899999934435
79.0,2.0,458.089999999404,27.310000013113022
80.0,4.0,464.0300000007451,31.07000000357628
81.0,16.0,470.0399999986589,55.239999990463254
82.0,24.0,476.1899999934435,71.03000000074506
83.0,9.0,482.0599999982119,41.35000000476837
84.0,32.0,489.0,87.0399999986589
85.0,14.0,494.25000001072885,51.29999999284744
86.0,31.0,499.999999999553,85.23999999046326
87.0,26.0,506.01999999910595,75.31000001311303
88.0,29.0,512.3500000047684,81.05000000029803
89.0,13.0,518.0399999986589,49.160000007152554
90.0,9.0,524.3699999856949,41.36999998569488
91.0,36.0,530.3500000047684,95.29000000238419
92.0,16.0,536.1899999934435,55.280000011920926
93.0,2.0,542.2699999916554,26.98
94.0,1.0,548.1600000071526,25.009999999329448
95.0,37.0,554.3599999952316,97.34000001430512
96.0,8.0,560.0399999986589,39.150000001788136
97.0,11.0,566.019999999106,45.070000003576276
98.0,15.0,571.999999999553,53.13000000596046
99.0,14.0,578.1300000059605,51.280000011920926
100.0,24.0,584.1399999964237,71.35999999523163
