A,B,C,D
1.0,2.0,-18.869999994039535,42.070000003576276
2.0,30.0,-12.940000001788139,210.36999998569488
3.0,7.0,-6.670000005960464,72.03000000074506
4.0,38.0,-0.8600000035762787,258.26999999165537
5.0,17.0,5.239999990463257,132.01999999910592
6.0,16.0,11.290000002384186,126.2600000011921
7.0,24.0,17.28000001192093,174.29999999284743
8.0,24.0,23.050000000298024,174.01999999910592
9.0,12.0,29.09999999731779,102.26999999165535
10.0,19.0,35.34000001430511,144.03999999865889
11.0,32.0,41.239999990463254,222.03999999865889
12.0,5.0,47.32999999403953,60.21999999463558
13.0,22.0,53.31000001311302,162.29999999284743
14.0,39.0,59.359999995231625,264.1300000059605
15.0,33.0,65.0999999973178,228.23999999046325
16.0,37.0,71.08000000149012,252.32999999403953
17.0,26.0,77.2600000011921,186.13000000596045
18.0,24.0,83.1899999934435,174.32999999403953
19.0,38.0,89.05999999821186,258.35999999523165
20.0,31.0,95.31000001311303,216.1999999988079
21.0,22.0,101.29999999284745,162.23999999046325
22.0,33.0,107.35999999523163,228.050000000298
23.0,3.0,113.23999999046326,48.359999995231625
24.0,20.0,119.07000000357628,150.01999999910592
25.0,23.0,125.2600000011921,168.09999999731778
26.0,12.0,131.0800000014901,102.13999999642373
27.0,22.0,136.98,162.25000001072883
28.0,17.0,143.18999999344348,132.18000000298022
29.0,13.0,149.050000000298,108.36999998569489
30.0,31.0,155.32999999403953,216.1399999964237
31.0,1.0,161.26000000119208,36.29999999284744
32.0,29.0,167.18000000298022,204.26999999165534
33.0,20.0,173.1399999964237,150.3400000143051
34.0,9.0,179.01999999910592,84.08000000149012
35.0,14.0,185.12000000059604,114.26999999165535
36.0,34.0,191.28000001192092,234.16000000715255
37.0,20.0,196.98,149.99999999955295
38.0,35.0,203.03000000074505,240.050000000298
39.0,7.0,209.29000000238418,72.0399999986589
40.0,16.0,215.03999999865889,126.26999999165535
41.0,15.0,221.00999999932944,119.99999999955297
42.0,34.0,227.29999999284743,234.310000013113
43.0,16.0,233.21999999463557,126.35999999523163
44.0,5.0,239.01999999910592,60.23
45.0,28.0,245.15000000178813,198.3400000143051
46.0,25.0,251.00999999932944,180.3400000143051
47.0,27.0,256.9899999997765,192.1999999988079
48.0,33.0,263.0999999973178,228.21999999463557
49.0,36.0,269.00999999932947,245.98999999977647
50.0,28.0,274.999999999553,198.3400000143051
51.0,39.0,281.1999999988079,264.2600000011921
52.0,29.0,287.3699999856949,204.3400000143051
53.0,16.0,293.13999999642374,126.2600000011921
54.0,24.0,299.13999999642374,174.15000000178813
55.0,4.0,305.26999999165537,54.160000007152554
56.0,27.0,311.28000001192095,192.07000000357627
57.0,13.0,317.28000001192095,108.19999999880791
58.0,14.0,323.2399999904633,114.35999999523163
59.0,31.0,329.25000001072885,216.18999999344348
60.0,16.0,335.35999999523165,126.05999999821186
61.0,38.0,341.1899999934435,258.28000001192095
62.0,14.0,347.15000000178816,114.15000000178814
63.0,22.0,353.1899999934435,162.28000001192092
64.0,13.0,359.25000001072885,108.05000000029803
65.0,13.0,365.0599999982119,108.00999999932945
66.0,17.0,371.1600000071526,132.18000000298022
67.0,24.0,377.3200000035763,174.29999999284743
68.0,29.0,383.0999999973178,204.09999999731778
69.0,14.0,389.0999999973178,114.21000000417233
70.0,8.0,395.00999999932947,78.32000000357628
71.0,11.0,401.35999999523165,96.36999998569489
72.0,16.0,406.98,126.08000000149012
73.0,39.0,413.00999999932947,264.31000001311304
74.0,9.0,419.01999999910595,84.35000000476838
75.0,17.0,425.089999999404,132.15000000178813
76.0,14.0,431.25000001072885,114.25000001072884
77.0,32.0,437.2399999904633,222.03999999865889
78.0,9.0,443.13999999642374,84.18000000298024
79.0,1.0,449.13999999642374,36.01999999910593
80.0,24.0,455.2199999946356,174.32999999403953
81.0,3.0,461.1899999934435,48.08999999940395
82.0,11.0,467.21000000417234,96.23
83.0,39.0,473.2600000011921,264.18000000298025
84.0,39.0,479.0999999973178,264.35999999523165
85.0,15.0,485.0999999973178,120.08999999940396
86.0,22.0,491.0700000035763,161.98
87.0,33.0,498.0,228.09999999731778
88.0,15.0,503.2900000023842,120.2600000011921
89.0,0.0,509.05000000029804,30.290000002384186
90.0,8.0,515.0399999986589,78.07000000357628
91.0,19.0,521.3699999856949,144.29999999284743
92.0,7.0,527.0399999986589,72.25000001072884
93.0,10.0,533.2500000107289,90.2600000011921
94.0,33.0,538.9899999997765,228.26000000119208
95.0,2.0,545.2600000011921,42.189999993443486
96.0,36.0,551.0399999986589,246.32999999403953
97.0,30.0,557.1399999964237,210.310000013113
98.0,0.0,563.2399999904633,30.26999999165535
99.0,32.0,569.3599999952316,222.26000000119208
100.0,20.0,575.0800000014901,150.12000000059604
