A,B,C,D
1.0,1.0,-18.86000000357628,36.34000001430511
2.0,19.0,-12.67999999642372,144.28000001192092
3.0,2.0,-6.689999986886978,42.29999999284744
4.0,12.0,-0.780000005364418,101.99999999955297
5.0,13.0,5.019999999105931,108.16999999761582
6.0,39.0,11.23,264.23
7.0,39.0,17.299999992847443,264.23
8.0,19.0,23.07000000357628,144.09999999731778
9.0,34.0,29.340000014305115,234.01999999910592
10.0,24.0,35.03999999865889,173.99999999955295
11.0,7.0,41.08000000149011,72.10999999523163
12.0,33.0,47.13999999642372,227.98
13.0,12.0,53.34000001430511,102.23999999046326
14.0,10.0,59.16999999761581,90.29999999284745
15.0,34.0,65.07000000357628,234.1399999964237
16.0,38.0,71.05999999821186,257.999999999553
17.0,18.0,77.23999999046326,137.98
18.0,35.0,82.98,240.18000000298022
19.0,39.0,88.98999999977649,264.21000000417234
20.0,11.0,95.16999999761582,96.0999999973178
21.0,10.0,101.07000000357628,90.2600000011921
22.0,32.0,107.01999999910593,222.21000000417231
23.0,39.0,113.05999999821186,264.31000001311304
24.0,37.0,119.07000000357628,251.98
25.0,10.0,125.28000001192093,90.13000000596047
26.0,39.0,130.98,264.0399999986589
27.0,20.0,137.050000000298,150.21000000417231
28.0,9.0,143.26999999165534,84.00999999932945
29.0,12.0,149.0800000014901,102.28000001192093
30.0,37.0,155.16000000715255,252.18000000298022
31.0,39.0,161.310000013113,264.3500000047684
32.0,9.0,167.310000013113,84.15000000178814
33.0,9.0,173.09999999731778,84.25000001072884
34.0,21.0,179.03000000074505,156.18999999344348
35.0,33.0,185.03999999865889,228.07000000357627
36.0,33.0,191.08999999940394,227.98
37.0,15.0,197.23999999046325,120.2600000011921
38.0,10.0,203.03999999865889,90.08000000149012
39.0,33.0,209.32999999403953,228.21999999463557
40.0,0.0,215.310000013113,30.329999994039536
41.0,38.0,221.35000000476836,258.18000000298025
42.0,3.0,227.23999999046325,48.280000011920926
43.0,12.0,233.16000000715255,101.98999999977649
44.0,22.0,239.21999999463557,162.03000000074505
45.0,11.0,245.03999999865889,95.98
46.0,33.0,251.32999999403953,228.09999999731778
47.0,10.0,257.0599999982119,89.99999999955297
48.0,14.0,263.00999999932947,114.0399999986589
49.0,32.0,269.0700000035763,222.23
50.0,39.0,275.1600000071526,264.00999999932947
51.0,21.0,281.29999999284746,156.21000000417231
52.0,24.0,287.1999999988079,174.03999999865889
53.0,36.0,293.26999999165537,246.21999999463557
54.0,38.0,299.2199999946356,258.21000000417234
55.0,12.0,305.1600000071526,102.23
56.0,15.0,311.0700000035763,120.1899999934435
57.0,5.0,317.2600000011921,60.29999999284744
58.0,12.0,323.10999999523165,102.26999999165535
59.0,37.0,328.98,252.01999999910592
60.0,18.0,335.15000000178816,138.26000000119208
61.0,13.0,341.1899999934435,108.2600000011921
62.0,39.0,347.3200000035763,264.25000001072885
63.0,16.0,353.21000000417234,126.07000000357628
64.0,17.0,359.3200000035763,132.32999999403953
65.0,9.0,365.01999999910595,84.23
66.0,2.0,371.1600000071526,42.070000003576276
67.0,0.0,377.1899999934435,29.999999999552966
68.0,14.0,383.13999999642374,114.28000001192093
69.0,28.0,389.25000001072885,198.35999999523162
70.0,12.0,395.16999999761583,101.98
71.0,29.0,401.0999999973178,204.18999999344348
72.0,21.0,407.2600000011921,156.26999999165534
73.0,27.0,413.13999999642374,191.98
74.0,0.0,419.34000001430513,30.039999998658896
75.0,4.0,425.16999999761583,53.98
76.0,17.0,431.18000000298025,132.1399999964237
77.0,2.0,437.08000000149013,41.99999999955296
78.0,14.0,443.05000000029804,114.18000000298024
79.0,15.0,449.0999999973178,120.0999999973178
80.0,13.0,455.089999999404,108.10999999523163
81.0,20.0,461.15000000178816,150.29999999284743
82.0,37.0,467.35999999523165,252.01999999910592
83.0,17.0,473.35999999523165,132.26999999165534
84.0,12.0,479.29999999284746,102.05000000029803
85.0,1.0,485.23,36.09999999731779
86.0,2.0,491.08000000149013,42.239999990463254
87.0,33.0,497.31000001311304,228.35000000476836
88.0,22.0,503.1600000071526,162.09999999731778
89.0,24.0,509.32999999403955,174.07000000357627
90.0,33.0,515.1300000059605,228.12000000059604
91.0,39.0,521.2999999928475,264.31000001311304
92.0,7.0,527.0599999982119,71.99999999955297
93.0,20.0,533.0599999982119,150.18999999344348
94.0,6.0,539.1800000029803,66.08999999940396
95.0,37.0,545.1300000059605,252.1699999976158
96.0,13.0,551.3500000047684,108.1899999934435
97.0,35.0,557.1699999976158,240.18000000298022
98.0,7.0,563.1300000059605,72.29000000238419
99.0,20.0,569.1600000071526,150.050000000298
100.0,23.0,575.0800000014901,168.310000013113
